StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1,Q2_1,Q2_2,Q2_3,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Do you consent to the collection, use, storage and sharing of my personal data as described in the text above?",What is your ID number? (The person who sent you this link should have provided one for you. Please ask them if you're unsure),What is your view on Data Privacy? - I feel knowledgeable about Data Privacy,What is your view on Data Privacy? - I want to know more about Data Privacy,What is your view on Data Privacy? - I think Data Privacy is important,What topics do you feel knowledgeable about?,How much do you agree with the following statements? - By protecting my privacy I feel like I am protecting others,How much do you agree with the following statements? - I am motivated to develop more skills in data privacy,How much do you agree with the following statements? - I feel capable of protecting my own personal data,How much do you agree with the following statements? - Please select ‘Somewhat agree’ to show you are paying attention to this question,How much do you agree with the following statements? - Companies stealing or selling my data is a concern of mine,How much do you agree with the following statements? - I look forward to playing a data privacy mini-game tomorrow,"How much do you agree with the following statements?

Whenever I currently spend time online... - I want to refuse tracking cookies","How much do you agree with the following statements?

Whenever I currently spend time online... - I occasionally question the security of one or more of my passwords","How much do you agree with the following statements?

Whenever I currently spend time online... - I want to figure out if an email is legit before I click on a link","How much do you agree with the following statements?

Whenever I currently spend time online... - I desire to browse the internet in a way that protects my personal data","How much do you agree with the following statements?

Whenever I currently spend time online... - I desire to browse the internet aware of what personal data sites are harvesting from me",Are there any games you're looking forward to?,(Optional) Is there anything else you want to share with us?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID16""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID1220087348_1""}","{""ImportId"":""QID1220087348_2""}","{""ImportId"":""QID1220087348_3""}","{""ImportId"":""QID1220087348_4""}","{""ImportId"":""QID1220087348_5""}","{""ImportId"":""QID20""}","{""ImportId"":""QID15_TEXT""}"
2026-05-20 14:25:55,2026-05-20 14:27:30,IP Address,109.38.138.196,100,95,True,2026-05-20 14:27:31,R_2jZ31kDGPG3QAsK,,,,,52.3584,4.8295,anonymous,EN,Yes,1147586,Somewhat disagree,Strongly agree,Somewhat agree,None of these,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,"Spot the weakest password,Build a password,Build a passphrase,Escape the cookie trap,Phishing or legit,GDPR multiple choice",
2026-05-20 14:35:14,2026-05-20 14:37:17,IP Address,83.85.213.25,100,122,True,2026-05-20 14:37:18,R_2ifn9INuMQRlrP3,,,,,52.0134,4.3655,anonymous,EN,Yes,400,Neither agree nor disagree,Strongly agree,Strongly agree,None of these,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"Spot the weakest password,Build a password,Build a passphrase,Escape the cookie trap,Phishing or legit,GDPR multiple choice",
2026-05-20 14:44:38,2026-05-20 14:49:30,IP Address,145.137.155.174,100,291,True,2026-05-20 14:49:30,R_8CNt9Fg2R9u1a5f,,,,,51.8421,5.8593,anonymous,EN,Yes,202,Somewhat disagree,Somewhat agree,Strongly agree,Rejecting tracking cookies,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,"Spot the weakest password,Build a passphrase,Escape the cookie trap,Phishing or legit",
2026-05-20 14:42:05,2026-05-20 14:49:45,IP Address,145.127.122.153,100,459,True,2026-05-20 14:49:46,R_8F8r6MQDdOdSYbP,,,,,41.6381,-0.8918,anonymous,EN,Yes,402,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Password strength,Rejecting tracking cookies",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,"Spot the weakest password,Build a password,Build a passphrase,Escape the cookie trap",
2026-05-20 14:40:45,2026-05-20 14:49:45,IP Address,145.76.84.193,100,539,True,2026-05-20 14:49:46,R_2mga2EEkyOb9f4d,,,,,52.2331,6.8961,anonymous,EN,Yes,Nr 204,Somewhat agree,Strongly agree,Strongly agree,"Password strength,Building and using a passphrase",Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,"Spot the weakest password,Build a password,Build a passphrase,Escape the cookie trap,Phishing or legit,GDPR multiple choice",I appreciate your efforts
2026-05-20 15:27:09,2026-05-20 15:29:54,IP Address,205.147.16.62,100,165,True,2026-05-20 15:29:55,R_2oAzYEsrzlqHEXM,,,,,52.3716,4.8883,anonymous,EN,Yes,302,Somewhat agree,Strongly agree,Strongly agree,"Password strength,Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,"Spot the weakest password,Build a passphrase,Escape the cookie trap,GDPR multiple choice",
2026-05-20 15:48:28,2026-05-20 15:52:05,IP Address,88.159.3.128,100,217,True,2026-05-20 15:52:05,R_2n1MHzQKovpmqcl,,,,,52.3179,4.9521,anonymous,EN,Yes,303,Somewhat agree,Somewhat agree,Strongly agree,"Password strength,Building and using a passphrase,Rejecting tracking cookies,Spotting phishing emails",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spot the weakest password,Phishing or legit",
2026-05-20 16:10:07,2026-05-20 16:14:34,IP Address,151.230.36.73,100,267,True,2026-05-20 16:14:35,R_8Ra0TghOz5MBuJX,,,,,51.5758,-0.4248,anonymous,EN,Yes,310,Somewhat disagree,Strongly disagree,Strongly disagree,"Password strength,Building and using a passphrase,Rejecting tracking cookies,Spotting phishing emails",Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"Spot the weakest password,Build a password,Phishing or legit",
